dataset,scene,status,iteration,model_dir,pred_path,reference_path,reference_kind,accepted_gt,alignment,normal_angle_error_deg,normal_metric_reason,pred_points,reference_points,pred_normals,reference_normals,bbox_diag,accuracy_mean,accuracy_median,accuracy_rmse,completeness_mean,completeness_median,completeness_rmse,chamfer_l1,chamfer_l2,hausdorff,threshold_0p5pct,precision_0p5pct,recall_0p5pct,fscore_0p5pct,threshold_1pct,precision_1pct,recall_1pct,fscore_1pct,threshold_2pct,precision_2pct,recall_2pct,fscore_2pct
glossy_synthetic,luyu_blender,ok,31000,output/repro_paper/glossy_synthetic/luyu_blender,output/repro_paper/glossy_synthetic/luyu_blender/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/GlossySyntheticConverted/luyu_blender/eval_pts.ply,accepted_eval_points,True,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,147273,80927,False,False,2.4250816031342475,0.00804621352225718,0.0053871930700665595,0.012056368465913306,0.008355279474417623,0.0060398372336672715,0.011073430958665448,0.008200746498337401,0.00013398844689109957,0.19625503503439098,0.012125408015671238,0.8538496533648394,0.802624587591286,0.8274450745474268,0.024250816031342475,0.9577383498672534,0.960507617976695,0.9591209850005662,0.04850163206268495,0.9902086601074196,0.9970343643036317,0.9936097898753421
glossy_synthetic,cat_blender,ok,31000,output/repro_paper/glossy_synthetic/cat_blender,output/repro_paper/glossy_synthetic/cat_blender/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/GlossySyntheticConverted/cat_blender/eval_pts.ply,accepted_eval_points,True,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,61037,68335,False,False,2.3456862680345156,0.010141002427929362,0.006005040570730495,0.01706979102823816,0.017438436527638587,0.009497751116700894,0.02992967218586319,0.013789719477783974,0.0005935815214504763,0.2567927730780714,0.011728431340172579,0.7864246276848469,0.6086485695470842,0.6862094772470977,0.023456862680345157,0.9228500745449482,0.8392039218555645,0.8790416223621638,0.046913725360690314,0.975310057833773,0.9163532596765932,0.9449129159702563
nerf_synthetic,ship,ok,31000,output/repro_paper/nerf_synthetic/ship,output/repro_paper/nerf_synthetic/ship/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/NeRF Synthetic/ship/points3d.ply,proxy_points_not_accepted_gt,False,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,200000,100000,False,True,3.464031344315956,0.09468942072023563,0.03254765505749466,0.1403885280685388,0.2203947306207726,0.139056435590874,0.3140731873531048,0.15754207567050413,0.05917545291369469,1.0697008066113807,0.017320156721579782,0.14283,0.10073,0.11814145097717196,0.034640313443159564,0.529345,0.27827,0.3647798348222854,0.06928062688631913,0.63551,0.38219,0.4773225251056303
nerf_synthetic,ficus,ok,31000,output/repro_paper/nerf_synthetic/ficus,output/repro_paper/nerf_synthetic/ficus/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/NeRF Synthetic/ficus/points3d.ply,proxy_points_not_accepted_gt,False,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,108181,100000,False,True,3.464031344315956,0.02664137554792824,0.024852390460074182,0.029997918777501586,0.42020484405914416,0.4184924590331226,0.4909279167734621,0.2234231098035362,0.12095504729925646,1.1506950732864984,0.017320156721579782,0.21233858071195497,0.02361,0.042494969670781695,0.034640313443159564,0.8168902117747109,0.05046,0.09504875776028204,0.06928062688631913,0.9860511550087354,0.09936,0.18052890337372562
nerf_synthetic,lego,ok,31000,output/repro_paper/nerf_synthetic/lego,output/repro_paper/nerf_synthetic/lego/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/NeRF Synthetic/lego/points3d.ply,proxy_points_not_accepted_gt,False,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,200000,100000,False,True,3.464031344315956,0.03364792818282834,0.02520679572523568,0.04561870530959761,0.2703544437796361,0.2515918309778912,0.33312078444542037,0.15200118598123222,0.056525261651828064,0.8702466225960499,0.017320156721579782,0.211555,0.05974,0.09317013361838589,0.034640313443159564,0.782345,0.12401,0.21408521705071412,0.06928062688631913,0.908935,0.20771,0.3381466604874423
nerf_synthetic,mic,ok,31000,output/repro_paper/nerf_synthetic/mic,output/repro_paper/nerf_synthetic/mic/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/NeRF Synthetic/mic/points3d.ply,proxy_points_not_accepted_gt,False,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,200000,100000,False,True,3.464031344315956,0.03639581575097636,0.026141723801884557,0.05257019585682141,0.41422033763334143,0.38509125857760407,0.48135417812366244,0.2253080766921589,0.11723273514476555,1.2235633315597758,0.017320156721579782,0.193255,0.02063,0.037280320265563265,0.034640313443159564,0.74196,0.03543,0.0676305144136148,0.06928062688631913,0.90454,0.06261,0.1171136832962829
nerf_synthetic,hotdog,ok,31000,output/repro_paper/nerf_synthetic/hotdog,output/repro_paper/nerf_synthetic/hotdog/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/NeRF Synthetic/hotdog/points3d.ply,proxy_points_not_accepted_gt,False,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,200000,100000,False,True,3.464031344315956,0.05270519683339652,0.02800819753725737,0.07925185413706652,0.3570078454470705,0.3405197925073363,0.4367265191218948,0.2048565211402335,0.0985054544442448,1.0806224973959053,0.017320156721579782,0.169315,0.05685,0.08511978201755355,0.034640313443159564,0.65703,0.1235,0.2079182222336105,0.06928062688631913,0.793985,0.1773,0.28987071868710007
nerf_synthetic,chair,ok,31000,output/repro_paper/nerf_synthetic/chair,output/repro_paper/nerf_synthetic/chair/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/NeRF Synthetic/chair/points3d.ply,proxy_points_not_accepted_gt,False,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,200000,100000,False,True,3.464031344315956,0.023899525459254986,0.02365806189215414,0.025430999745484364,0.3124096715212768,0.28814902171290063,0.38259513816554935,0.1681545984902659,0.07351288774798531,1.1924084654706575,0.017320156721579782,0.235895,0.04578,0.07667896050412709,0.034640313443159564,0.88785,0.09356,0.16928143385537137,0.06928062688631913,1.0,0.14499,0.25325985379784977
nerf_synthetic,materials,ok,31000,output/repro_paper/nerf_synthetic/materials,output/repro_paper/nerf_synthetic/materials/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/NeRF Synthetic/materials/points3d.ply,proxy_points_not_accepted_gt,False,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,200000,100000,False,True,3.464031344315956,0.028586763665639205,0.02521085454259543,0.03367003923248842,0.3592261100020305,0.3347551802395607,0.4327463783314172,0.19390643683383485,0.0942015497504377,0.8996557143298691,0.017320156721579782,0.20746,0.04732,0.07706262029986655,0.034640313443159564,0.79683,0.08417,0.15225693779795688,0.06928062688631913,0.95719,0.13531,0.23710275313501145
nerf_synthetic,drums,ok,31000,output/repro_paper/nerf_synthetic/drums,output/repro_paper/nerf_synthetic/drums/point_cloud/iteration_31000/point_cloud.ply,/data/liuly/dataset/3DGS/NeRF Synthetic/drums/points3d.ply,proxy_points_not_accepted_gt,False,raw_coordinates_no_icp,,prediction_point_cloud_has_no_normals,200000,100000,False,True,3.464031344315956,0.025246259916494034,0.023805715574794675,0.02856899094036288,0.27490058990692356,0.25153291401998307,0.32938511751445604,0.1500734249117088,0.05465537144168127,0.9043621939904202,0.017320156721579782,0.23281,0.03376,0.05896886821472784,0.034640313443159564,0.866765,0.07151,0.1321198265966801,0.06928062688631913,0.984785,0.13881,0.24332255990815196
